,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
2883,Ford,Focus,2015,Universal,184500,1499,Diesel,1,8000
2884,Volkswagen,Jetta,2011,Sedan,191400,1200,Petrol,1,7000
2885,Skoda,Octavia,2013,Universal,150400,1390,Petrol,1,7350
2887,Ford,C-Max,2015,Microvan,177300,1499,Diesel,1,8850
2889,Toyota,Rav 4,2010,Crossover,176000,2200,Diesel,2,12800
2890,Skoda,Octavia,2012,Universal,174700,1800,Petrol,1,7850
2891,BMW,3 Series,2018,Sedan,37000,2000,Petrol,2,20500
2892,BMW,5 Series,1993,Sedan,300000,2500,Diesel,1,2450
2893,Renault,Megane,2013,Hatchback,173000,1461,Diesel,1,6700
2895,Renault,Megane,2014,Universal,185700,1461,Diesel,2,8400
2896,Volkswagen,Jetta,2019,Sedan,51000,1400,Petrol,2,12500
2898,Renault,Megane,2011,Universal,201500,1400,Petrol,1,5450
2899,Volkswagen,Jetta,2019,Sedan,40000,1400,Petrol,2,11900
2900,Hyundai,ix35,2014,SUV,170000,2000,Diesel,2,14850
2901,Opel,Astra,2011,Universal,184300,1300,Diesel,1,5850
2902,Renault,Megane,2004,Hatchback,220,2000,Petrol,1,8000
2903,Honda,Civic,2005,Sedan,300,1400,Hybrid,1,2550
2904,Renault,Laguna,2010,Universal,178150,1461,Diesel,1,5550
2905,Chrysler,Sebring,2001,Sedan,316300,2000,Petrol,2,2800
2906,Toyota,Corolla,2006,Sedan,285934,1600,Metan/Propan,2,4300
2907,Ford,Focus,2015,Universal,168100,1500,Diesel,1,7450
2909,Nissan,Qashqai,2017,Crossover,155100,1500,Diesel,1,11850
2910,Renault,Kadjar,2017,Crossover,129100,1500,Diesel,2,12750
2911,Nissan,Qashqai,2017,SUV,157300,1500,Diesel,1,12390
2913,Mercedes,C Class,2015,Sedan,132000,2000,Plug-in Hybrid,2,19350
2914,Toyota,Corolla,2000,Hatchback,222,2000,Petrol,2,1000
2915,Honda,Civic,2001,Hatchback,380100,1598,Metan/Propan,1,4000
2916,Volkswagen,Golf,2015,Hatchback,112000,1400,Petrol,2,10950
2917,Renault,Grand Scenic,2013,Universal,178000,1500,Diesel,2,6999
2919,Nissan,X-Trail,2015,Crossover,220000,1600,Diesel,2,14790
2920,Skoda,Octavia,2005,Sedan,285000,1400,Metan/Propan,1,5400
2921,Mercedes,Vito,2008,Universal,200000,2200,Diesel,1,6999
2922,Suzuki,Splash,2009,Hatchback,41000,1250,Diesel,1,3950
2923,Skoda,Octavia,2009,Sedan,215000,1595,Petrol,1,4900
2924,Mini,One,2003,Hatchback,172589,1600,Petrol,1,2700
2925,Chevrolet,Aveo,2011,Hatchback,101000,1300,Diesel,1,5500
2926,Vaz,2105,1993,Sedan,80000,1300,Petrol,1,1299
2927,Audi,A5,2011,Sedan,105000,1800,Petrol,2,13100
2928,Citroen,C1,2008,Hatchback,123,1000,Petrol,1,1555
2929,Dacia,Dokker,2015,Minivan,123500,1598,Petrol,1,4999
2930,Toyota,Prius,2010,Hatchback,200000,1800,Hybrid,2,7899
2931,Dacia,Logan,2016,Sedan,78722,1500,Diesel,1,7499
2932,Renault,Clio,2016,Universal,139000,1500,Diesel,1,7490
2933,Dacia,Sandero,2013,Hatchback,169000,1200,Petrol,1,4850
2934,Opel,Corsa,2012,Hatchback,158000,1300,Diesel,1,5390
2935,Skoda,Superb,2016,Sedan,156000,2000,Diesel,2,20990
2937,Skoda,Fabia,2016,Universal,49000,1200,Petrol,1,8490
2938,Renault,Laguna,2014,Universal,189000,1500,Diesel,2,6800
2939,Skoda,Fabia,2011,Universal,164000,1200,Diesel,1,5490
2940,Honda,CR-V,2007,SUV,279000,2200,Diesel,1,9990
2941,Ford,Fiesta 5D,2006,Hatchback,200000,1400,Diesel,1,3299
2942,Dacia,Sandero,2010,Hatchback,118000,1400,Metan/Propan,1,3400
2943,Nissan,X-Trail,2015,SUV,116000,1600,Diesel,2,15750
2945,Nissan,Qashqai,2012,SUV,0,1500,Diesel,1,6800
2946,Skoda,Octavia,2013,Universal,179000,1400,Petrol,1,8990
2947,Hyundai,Tucson,2018,SUV,65000,2000,Petrol,2,16900
2948,Toyota,Rav 4,2013,Crossover,182000,2200,Diesel,2,16950
2950,Volkswagen,Caddy,2016,Universal,87000,2000,Diesel,1,9700
2951,Toyota,C-HR,2016,Crossover,99000,1800,Hybrid,2,17250
2952,Skoda,Superb,2008,Sedan,184000,1800,Metan/Propan,1,5500
2953,BMW,1 Series,2014,Hatchback,86000,1600,Petrol,2,10950
2954,Hyundai,Santa FE,2011,Crossover,195000,2200,Diesel,2,12999
2955,Ford,Focus,2002,Sedan,165000,2000,Metan/Propan,2,1599
2956,Hyundai,NF Sonata,2011,Sedan,69700,1998,Petrol,2,9500
2957,Renault,Kadjar,2016,SUV,145000,1500,Diesel,2,12900
2958,Mercedes,E Class,2011,Sedan,166000,2000,Petrol,2,12550
2959,Toyota,Auris,2014,Hatchback,0,1800,Hybrid,2,7600
2960,Skoda,Octavia,2012,Universal,152000,1400,Petrol,1,6700
2961,Mercedes,A Class,2012,Hatchback,101000,1700,Petrol,2,7850
2962,Audi,A6,2013,Sedan,0,2000,Diesel,1,12800
2963,Renault,Kangoo,2015,Universal,1,1461,Diesel,1,7000
2964,Renault,Espace,2016,Minivan,141000,1600,Diesel,2,15200
2965,KIA,Ceed Sw,2012,Universal,165000,1400,Petrol,1,5900
2966,Skoda,Roomster,2013,Universal,154000,1200,Petrol,1,5550
2967,Skoda,Octavia,2014,Universal,168000,1600,Diesel,2,11050
2970,Hyundai,Tucson,2015,SUV,80972,1995,Diesel,2,17350
2971,Toyota,Auris,2015,Universal,206000,1400,Diesel,1,7999
2974,Skoda,Octavia,2009,Sedan,189000,1400,Petrol,2,6490
2976,BMW,5 Series,2010,Sedan,260000,2000,Diesel,2,15500
2977,Opel,Corsa,2012,Hatchback,151000,1400,Petrol,1,5490
2978,Skoda,Octavia,2011,Combi,165000,1586,Diesel,1,6900
2979,Renault,Megane,2017,Universal,172000,1500,Diesel,1,9200
2980,Hyundai,Tucson,2015,SUV,212714,1995,Diesel,2,14450
2981,Renault,Kadjar,2016,SUV,132000,1500,Diesel,2,13750
2982,Toyota,C-HR,2016,SUV,99000,1800,Hybrid,2,17250
2983,Peugeot,301,2016,Sedan,63200,1220,Petrol,1,6500
2984,Renault,Kangoo,2012,Universal,165000,1500,Diesel,1,5990
2985,Lincoln,MKZ,2013,Sedan,148000,2000,Hybrid,2,12290
2987,Skoda,Octavia,2012,Universal,162000,1400,Petrol,2,7650
2988,Skoda,Yeti,2013,SUV,139000,1400,Petrol,1,7350
2989,Infiniti,QX30,2016,Hatchback,148000,1500,Diesel,2,14990
2991,Volkswagen,Golf,2019,Hatchback,360,2000,Petrol,2,19500
2992,Renault,Scenic,2010,Sedan,198000,1500,Diesel,2,6300
2993,Nissan,Qashqai,2016,SUV,24000,1200,Petrol,1,10690
2994,Renault,Kadjar,2015,Crossover,118000,1500,Diesel,2,13499
2998,Honda,Civic,2016,Coupe,51000,1498,Petrol,2,14500
3000,Honda,CR-V,2006,SUV,0,2000,Petrol,2,5600
3001,Audi,A3,2014,Sedan,129000,1400,Petrol,2,13200
3002,Toyota,Auris,2015,Universal,179000,1800,Hybrid,2,11450
3003,Opel,Corsa,2011,Hatchback,179636,1300,Diesel,1,5450
3004,Skoda,Octavia,2010,Universal,168000,1200,Petrol,1,6400
3005,Skoda,Roomster,2008,Minivan,204000,1400,Diesel,1,4200
3006,Dacia,Logan Mcv,2008,Minivan,180000,1460,Diesel,1,3600
3007,Honda,Accord,2009,Hatchback,150000,2400,Metan/Propan,2,9000
3009,Volvo,XC60,2012,Crossover,215000,2400,Diesel,2,14500
3010,Hyundai,ix35,2010,SUV,180000,2000,Diesel,1,8999
3011,Mitsubishi,Space Star,2002,Minivan,283,1900,Diesel,1,2500
3012,Skoda,Superb,2014,Sedan,173000,1799,Petrol,2,12000
3013,Nissan,Qashqai,2017,Crossover,133500,1600,Diesel,2,13995
3015,Seat,Ibiza,2011,Universal,216000,1200,Diesel,1,4700
3016,Nissan,Qashqai,2018,Crossover,135200,1500,Diesel,1,15999
3017,Toyota,Highlander,2015,Crossover,90000,2700,Petrol,2,23700
3018,BMW,X3,2016,SUV,176500,2000,Diesel,2,17999
3019,Mercedes,E Class,2004,Universal,222222,2700,Diesel,1,4000
3020,Renault,Megane,2010,Universal,261000,1500,Diesel,2,5300
3021,Renault,Megane,2013,Universal,178000,1461,Diesel,1,8200
3023,Ford,Fiesta,1995,Hatchback,30,1300,Petrol,1,1000
3024,Nissan,Micra,2004,Hatchback,145000,1200,Petrol,1,3100
3026,Dacia,Sandero,2013,Hatchback,101498,898,Petrol,1,4499
3027,Volkswagen,Transporter,2004,Universal,280704,1896,Diesel,1,6999
3028,KIA,Sportage,2017,SUV,33000,1685,Diesel,2,16800
3029,Seat,Ibiza,2010,Universal,275000,1200,Diesel,1,4200
3030,Hyundai,Tucson,2017,SUV,43000,1685,Diesel,2,16800
3031,Mercedes,B Class,2015,Hatchback,282000,1500,Diesel,2,11300
3032,Opel,Astra,2000,Sedan,227000,1600,Petrol,1,2400
3033,Mercedes,B Class,2019,Hatchback,15000,1300,Petrol,2,24300
3035,Dacia,Duster,2011,SUV,146000,1500,Diesel,1,6700
3036,Opel,Vectra,1991,Sedan,12467,1600,Petrol,1,1200
3038,Toyota,Auris,2010,Hatchback,160000,1400,Diesel,1,7199
3040,Honda,Accord,2017,Sedan,1,1993,Hybrid,1,14500
3041,Toyota,Avensis,2004,Universal,370,2000,Petrol,1,3600
3042,Honda,CR-V,2010,Crossover,150000,2000,Diesel,1,4500
3043,Mercedes,Vito,2001,Minivan,1234,2200,Diesel,1,4500
3044,Renault,Kadjar,2016,Crossover,126000,1500,Diesel,2,12999
3045,Volkswagen,Passat,1995,Universal,100,1800,Metan/Propan,1,2200
3046,Nissan,Almera Tino,2002,Microvan,289000,2184,Diesel,1,2500
3047,Hyundai,Getz,2005,Hatchback,280000,1100,Petrol,1,2000
3048,Hyundai,ix35,2014,Crossover,154200,2000,Diesel,2,14950
3049,Opel,Astra,2013,Universal,143000,1300,Diesel,1,6800
3050,Ford,Fiesta,2004,Hatchback,168,1249,Petrol,1,3000
3051,Volvo,XC60,2016,Crossover,156200,2400,Diesel,2,21700
3052,Ford,Fiesta,2004,Hatchback,176139,1300,Petrol,1,3100
3053,Seat,Alhambra,2012,Minivan,158200,1400,Petrol,1,8900
3055,Toyota,Auris,2011,Hatchback,203657,1800,Hybrid,2,8300
3056,Volkswagen,Golf,2010,Universal,221000,1600,Diesel,2,8250
3057,Dacia,Logan Mcv,2008,Universal,243000,1500,Diesel,1,3650
3058,Ford,Mondeo,2018,Universal,15000,2000,Petrol,2,18000
3059,Mini,Cooper,2005,Coupe,181570,1600,Petrol,1,4200
3060,Mercedes,E Class,2011,Sedan,293000,1800,Metan/Propan,2,11111
3061,Skoda,Octavia,2017,Universal,137653,1400,Metan/Propan,2,12900
3062,Rover,45,2002,Sedan,148800,1600,Metan/Propan,1,1300
3063,Dacia,Duster,2012,Crossover,100000,1500,Diesel,1,7990
3064,Mercedes,E Class,1999,Sedan,1111,2200,Diesel,2,4400
3065,Hyundai,Getz,2004,Hatchback,220000,1400,Diesel,1,2690
3066,Mercedes,E Class,2009,Sedan,310000,2200,Diesel,2,8700
3067,Volkswagen,Passat,1993,Sedan,200000,1800,Petrol,1,980
3068,Toyota,C-HR,2018,Crossover,99899,1798,Hybrid,2,17300
3069,Toyota,Yaris,2013,Hatchback,149313,1364,Diesel,1,7900
3073,Lancia,Thesis,2004,Sedan,262154,2400,Diesel,1,3999
3074,Dacia,Logan,2017,Sedan,164853,1000,Metan/Propan,1,3900
3075,Hyundai,Santa FE,2006,SUV,154000,2700,Metan/Propan,1,8700
3076,Volkswagen,Golf,1994,Hatchback,293000,1600,Petrol,1,2450
3077,Renault,19,1992,Hatchback,280000,1390,Petrol,1,1000
3078,Volkswagen,Golf,2008,Universal,121212,1400,Petrol,1,1250
3079,Lexus,Es Series,2012,Sedan,120100,2496,Hybrid,2,15700
3080,Audi,A3,2007,Hatchback,199000,1998,Diesel,2,7000
3082,Renault,Megane,2007,Universal,228000,1500,Diesel,1,3850
3083,Volvo,XC60,2013,Crossover,176000,2000,Diesel,2,17200
3084,Mercedes,CLK Class,2000,Coupe,101,2300,Petrol,1,3000
3085,Ford,Transit Connect,2012,Microvan,205000,1796,Diesel,1,4699
3086,Fiat,Doblo,2012,Minivan,207184,1598,Diesel,1,4799
3087,Renault,Kadjar,2015,Crossover,153000,1500,Diesel,2,12950
3088,Seat,Ibiza,2000,Hatchback,230000,1400,Metan/Propan,1,2150
3089,Nissan,Primera,1993,Sedan,360000,1600,Petrol,1,1450
3090,Peugeot,208,2012,Hatchback,183,1400,Diesel,2,7800
3093,Renault,Clio,2007,Hatchback,215000,1500,Diesel,1,2790
3095,Mercedes,GLK Class,2009,Crossover,200000,2200,Diesel,2,13900
3096,Skoda,Superb,2016,Sedan,192,1600,Diesel,2,15600
3097,Renault,Laguna,2011,Universal,190000,1500,Diesel,1,5600
3098,Hyundai,Matrix,2005,Hatchback,190000,1500,Diesel,1,3300
3100,Renault,Clio,2020,Hatchback,1800,900,Petrol,1,8199
3101,Opel,Zafira,2004,Universal,289000,1600,Metan/Propan,1,3250
3102,Opel,Vectra,1996,Hatchback,225000,1800,Petrol,1,1550
3103,Renault,Megane,2013,Minivan,222000,1500,Diesel,1,6999
3104,Volkswagen,Golf,1991,Hatchback,201000,1270,Petrol,1,1500
3105,Opel,Astra,2006,Universal,210,1700,Diesel,1,4500
3106,Volkswagen,Polo,2010,Hatchback,195776,1200,Diesel,1,5700
3107,Skoda,Octavia,2015,Universal,232800,1400,Petrol,2,8499
3108,Opel,Astra,2002,Universal,231000,1800,Metan/Propan,1,2000
3109,Mitsubishi,Galant,1989,Sedan,111111,2000,Petrol,1,1250
3110,Volkswagen,Golf,2004,Hatchback,218000,1896,Diesel,1,1950
3112,Opel,Astra,2002,Hatchback,153000,1400,Petrol,1,3250
3113,Opel,Vectra,1993,Sedan,250150,1800,Petrol,2,1300
3115,Ford,Focus,2015,Universal,145700,1500,Diesel,1,7950
3116,Dacia,Logan Mcv,2014,Universal,181000,1500,Diesel,1,6650
3117,Nissan,Qashqai,2007,SUV,180000,1500,Diesel,1,7490
3118,Skoda,Superb,2009,Sedan,210000,2000,Diesel,2,8990
3119,Peugeot,208,2014,Hatchback,113000,1400,Diesel,1,5990
3120,Skoda,Rapid,2013,Sedan,74000,1200,Petrol,1,7499
3121,Mercedes,E Class,2014,Sedan,221700,2143,Diesel,2,16900
3122,Skoda,Superb,2016,Sedan,182000,2000,Diesel,2,16950
3123,Mercedes,GLK Class,2014,Crossover,182600,2143,Diesel,2,16600
3124,Renault,Megane,2015,Universal,215000,1500,Diesel,1,6500
3125,Volkswagen,Passat,2011,Universal,186000,1390,Petrol,1,7200
3126,Volkswagen,Golf,1997,Universal,253000,1900,Diesel,1,1050
3127,Mercedes,E Class,2014,Sedan,82000,2000,Petrol,2,17250
3128,Opel,Vectra,1991,Sedan,246328,1600,Petrol,1,1250
3130,Mercedes,Vito,2014,Universal,300,2200,Diesel,1,9590
3131,Honda,Civic,1989,Hatchback,350000,1300,Petrol,1,800
3132,Toyota,Urban Cruiser,2009,Crossover,185300,1400,Petrol,1,7000
3133,Volkswagen,Golf,2008,Universal,206145,1390,Petrol,1,4799
3134,Renault,Megane,2009,Universal,195000,1500,Diesel,1,4990
3135,Dacia,Logan Mcv,2011,Universal,320000,1600,Metan/Propan,1,3499
3136,Ford,Fiesta 3D,2005,Hatchback,2003,1400,Petrol,1,2750
3137,Renault,Grand Scenic,2009,Minivan,150000,1400,Petrol,1,5550
3138,Volkswagen,Golf,2018,Hatchback,25500,2000,Petrol,2,16300
3139,Renault,Grand Scenic,2009,Universal,150000,1400,Petrol,1,5550
3140,Dacia,Logan Mcv,2009,Universal,210000,1400,Metan/Propan,1,3400
3141,Audi,A5,2008,Coupe,213000,2700,Diesel,2,12900
3142,Volvo,V70,2015,Crossover,180000,2000,Metan/Propan,2,9900
3143,Opel,Astra,2004,Hatchback,255000,1400,Petrol,1,4300
3144,Mercedes,GLA,2015,SUV,118000,2000,Petrol,2,16490
3145,Dacia,Logan,2007,Sedan,318298,1465,Diesel,1,2899
3146,Mercedes,E Class,2012,Sedan,240000,2200,Diesel,2,12499
3147,Ford,Escape,2014,SUV,198555,1500,Petrol,2,9999
3148,Toyota,Prius,2007,Hatchback,241000,1500,Hybrid,2,6800
3149,Nissan,Sunny,1994,Hatchback,257000,2000,Diesel,1,650
3150,Seat,Ibiza,2011,Coupe,160000,1400,Petrol,2,7200
3151,Dacia,Logan,2013,Sedan,240000,1200,Metan/Propan,1,2800
3152,Opel,Astra,2011,Universal,1,1248,Diesel,1,5800
3153,Chevrolet,Captiva,2007,Crossover,300,2000,Diesel,2,7350
3156,Renault,Scenic,2013,Universal,209325,1500,Diesel,2,6450
3157,Mercedes,Vito,2014,Minivan,100,2200,Diesel,2,14500
3158,Audi,A4,1997,Sedan,270000,1780,Metan/Propan,2,2850
3159,Acura,RDX,2012,Crossover,120000,2300,Metan/Propan,2,9999
3160,Opel,Zafira,2003,Minivan,3,1600,Metan/Propan,1,2900
3161,Volkswagen,Caddy,2014,Combi,162000,1600,Metan/Propan,1,6800
3162,Renault,Clio,2018,Universal,10500,1500,Diesel,1,8150
3163,Opel,Astra,1994,Universal,1,1600,Petrol,1,1300
3164,Ford,Fusion,2013,Sedan,111000,2000,Plug-in Hybrid,2,13350
3165,Renault,Kadjar,2016,Crossover,142000,1500,Diesel,2,14650
3166,Audi,Q5,2010,Crossover,182000,2000,Petrol,2,12550
3167,Toyota,Auris,2015,Hatchback,160000,1364,Diesel,1,10399
3168,Acura,RDX,2012,SUV,100000,2300,Metan/Propan,2,9990
3169,Nissan,Qashqai,2011,SUV,172864,1500,Diesel,1,8250
3170,Subaru,Legacy,2008,Roadster,0,2000,Metan/Propan,1,4000
3171,Dacia,Logan,2018,Sedan,67859,1500,Diesel,1,7950
3172,Nissan,Primera,2005,Sedan,0,2000,Petrol,1,2300
3173,Renault,Megane,2008,Universal,0,1500,Diesel,1,2300
3174,Opel,Astra,1992,Hatchback,11111,1400,Petrol,1,500
3175,Audi,A6,2007,Universal,0,2000,Petrol,1,4900
3176,Opel,Vectra,1992,Sedan,322412,1800,Petrol,1,570
3177,Toyota,Prius,2011,Hatchback,252000,1800,Hybrid,2,8000
3178,Mazda,626,1996,Sedan,257000,1800,Petrol,1,1150
3179,BMW,5 Series,2003,Sedan,263518,2200,Petrol,1,7700
3181,Volvo,XC90,2004,SUV,302000,2400,Diesel,1,5700
3182,Mitsubishi,Space Star,2000,Hatchback,300000,1900,Petrol,2,1300
3183,Hyundai,i40,2012,Sedan,139000,1700,Diesel,2,12250
3184,Honda,Accord,2018,Sedan,30000,1500,Petrol,2,16800
3185,Lexus,CT Series,2012,Hatchback,198000,1800,Hybrid,2,10400
3186,Mercedes,E Class,2002,Sedan,370000,2700,Diesel,2,2250
3187,Renault,Megane,2005,Universal,0,1500,Diesel,1,2300
3188,Citroen,Berlingo,2003,Combi,270000,1400,Metan/Propan,1,2600
3190,Toyota,Avensis,2015,Sedan,207000,2000,Diesel,1,11200
3191,Volkswagen,Jetta,2005,Sedan,0,1900,Diesel,1,2950
3192,Hyundai,Santa FE,2014,Crossover,115000,2000,Petrol,2,14750
3193,Skoda,Superb,2010,Sedan,0,2000,Petrol,2,6300
3194,Land Rover,Discovery,2005,SUV,217000,2700,Diesel,2,9900
3196,BMW,5 Series,1989,Sedan,170000,2000,Petrol,1,570
3197,Toyota,Rav 4,2017,Crossover,69000,2500,Hybrid,2,22999
3198,Ford,Fiesta,2002,Coupe,109600,1250,Petrol,1,2450
3201,Opel,Corsa,2008,Hatchback,265000,1300,Diesel,1,2500
3202,Peugeot,206,2004,Universal,265000,1400,Petrol,1,2400
3203,Opel,Vectra,1991,Hatchback,250,1600,Petrol,1,1250
3204,Volkswagen,Passat,2015,Universal,160452,2000,Diesel,1,14999
3205,Opel,Corsa,2008,Hatchback,275000,1248,Diesel,1,2500
3206,Skoda,Superb,2017,Sedan,92700,1000,Petrol,2,11700
3207,Skoda,Octavia,2018,Universal,192541,1600,Diesel,1,13999
3209,Hyundai,Santa FE,2006,Crossover,179145,2200,Diesel,2,8000
3210,Toyota,Avalon,2014,Sedan,120000,2500,Hybrid,2,17300
3211,Toyota,Avensis,2014,Universal,169000,2200,Diesel,2,11990
3212,Volkswagen,Passat,2012,Sedan,180000,1400,Metan/Propan,1,10500
3213,Mercedes,C Class,1997,Sedan,287000,2200,Petrol,2,1700
3214,Volkswagen,Golf,2003,Hatchback,1,1400,Petrol,1,3050
3215,Dacia,Duster,2017,SUV,120000,1456,Diesel,1,12990
3217,Nissan,Juke,2012,Crossover,126450,1600,Petrol,2,7350
3218,Ford,Fusion,2015,Sedan,179717,2000,Hybrid,2,12200
3219,Toyota,Rav 4,2004,SUV,215000,2000,Metan/Propan,2,6400
3220,Ford,Escape,2017,SUV,153899,1500,Petrol,2,11499
3221,Volkswagen,Jetta,2015,Sedan,120000,1400,Petrol,2,9000
3222,Volkswagen,Passat,2007,Universal,278000,2000,Diesel,2,6999
3223,Mercedes,Citan,2013,Minivan,150,1456,Diesel,1,8190
3224,Honda,Accord,2000,Sedan,300000,1600,Metan/Propan,1,2500
3226,Peugeot,5008,2018,Crossover,90000,1500,Diesel,2,18500
3227,Audi,A5,2015,Sedan,188000,2000,Diesel,2,16900
3228,Toyota,Avensis,2017,Universal,152000,2000,Diesel,1,13999
3229,Peugeot,508,2013,Sedan,130000,1600,Petrol,2,8200
3231,KIA,Sportage,2015,Crossover,109000,2000,Petrol,2,14999
3232,Nissan,Qashqai,2018,Crossover,155000,1600,Diesel,2,16800
3233,Ford,Fusion,2010,Hatchback,110000,1400,Petrol,2,5200
3234,Renault,Talisman,2016,Sedan,143000,1500,Diesel,1,11350
3236,Volkswagen,Passat,2015,Universal,180000,1400,Hybrid,2,13500
3237,Opel,Grandland X,2019,Crossover,114000,1500,Diesel,2,14600
3238,Nissan,Qashqai,2017,Crossover,78000,1500,Diesel,1,15200
3239,Mitsubishi,Outlander,2003,Crossover,207000,2000,Metan/Propan,1,4999
3240,Opel,Mokka,2017,Crossover,120000,1600,Diesel,2,14999
3241,Skoda,Superb,2013,Sedan,85000,1400,Petrol,1,9900
3242,Audi,A7,2015,Sedan,188000,2000,Diesel,2,16900
3243,Ford,Focus,2015,Sedan,177000,1500,Diesel,1,8750
3244,Nissan,Qashqai,2016,Crossover,132000,1236,Petrol,2,12999
3245,Nissan,Qashqai,2016,Crossover,132000,1300,Petrol,2,12999
3246,Renault,Megane,2016,Crossover,152000,1500,Diesel,1,9350
3247,Renault,Megane,2016,Universal,152000,1500,Diesel,1,9350
3248,Audi,A7,2015,Sedan,188000,2000,Diesel,2,16900
3249,Mitsubishi,Outlander,2014,SUV,200000,2000,Plug-in Hybrid,2,13800
3250,Dacia,Duster,2013,SUV,67000,1500,Diesel,1,7200
3251,Toyota,Corolla,2007,Universal,235000,1400,Diesel,1,5300
3252,Toyota,Camry,2019,Sedan,29800,2500,Hybrid,2,24500
3253,Skoda,Fabia,2011,Universal,164367,1199,Diesel,1,5000
3254,Audi,A4,2018,Universal,154000,2000,Diesel,2,22900
3255,Renault,Scenic,2005,Hatchback,168000,1600,Metan/Propan,2,3400
3256,Toyota,Auris,2008,Hatchback,247333,1400,Diesel,1,5850
3257,Volkswagen,up!,2013,Hatchback,162000,1000,Petrol,2,6490
3258,Dacia,Duster,2018,Crossover,74000,1500,Diesel,2,13990
3259,Volkswagen,Passat,2006,Sedan,209400,2000,Petrol,1,5350
3260,Volkswagen,Passat,2010,Sedan,195700,1400,Petrol,2,7500
3261,Ford,Kuga,2018,Crossover,124700,1500,Diesel,2,14990
3262,Toyota,Yaris,2008,Hatchback,61900,1300,Petrol,2,6450
3265,Skoda,Octavia,2007,Sedan,196000,1600,Petrol,1,5850
3266,Peugeot,Partner,2010,Universal,251000,1600,Diesel,1,4350
3267,Volkswagen,Passat,2006,Universal,345000,1895,Diesel,1,4500
3268,Opel,Antara,2008,Crossover,146000,2400,Metan/Propan,1,8300
3269,Opel,Astra,2006,Universal,220000,1600,Metan/Propan,1,2700
3270,Audi,A6,2012,Sedan,76000,2000,Diesel,2,17750
3271,BMW,3 Series,1993,Sedan,392222,1597,Metan/Propan,1,1300
3272,Toyota,Camry,2015,Sedan,177000,2500,Hybrid,2,14999
3273,Chevrolet,Malibu,2019,Sedan,14000,1500,Petrol,2,15500
3274,Opel,Astra,2012,Universal,167600,1300,Diesel,1,5850
3275,Ford,Focus,2015,Universal,168000,1500,Diesel,1,7780
3276,Mini,Clubman,2008,Hatchback,185000,1600,Petrol,2,6650
3278,Toyota,Aygo,2011,Hatchback,146000,1000,Petrol,1,4200
3279,BMW,5 Series,2008,Sedan,256000,2000,Diesel,1,8350
3280,Renault,Scenic,2013,Microvan,175000,1500,Diesel,2,6500
3282,GAZ,2410,1989,Sedan,61000,2400,Petrol,1,6900
3283,Mitsubishi,Outlander,2011,SUV,236000,2000,Petrol,2,9500
3284,Volkswagen,Passat,2018,Sedan,25800,2000,Petrol,2,14900
3286,Mercedes,E Class,2014,Sedan,67000,2200,Diesel,2,23900
3287,Opel,Vivaro,2013,Minivan,197000,2000,Diesel,2,7800
3288,Chevrolet,Captiva,2007,SUV,1,2000,Diesel,2,7400
3289,Hyundai,i20,2010,Hatchback,190000,1200,Petrol,1,3950
3290,Audi,A6,2000,Universal,316000,2500,Diesel,2,3800
3291,Vaz,2106,1989,Sedan,75000,1500,Petrol,1,2300
3292,Toyota,Corolla,2011,Sedan,174000,1400,Petrol,1,7500
3293,Ford,Fusion,2016,Sedan,67000,2000,Hybrid,2,11999
3294,Vaz,2104,1993,Minivan,62800,1500,Petrol,1,1000
3296,Renault,Megane,2017,Combi,93000,1500,Diesel,2,11500
3298,Skoda,Octavia,2010,Sedan,178000,1400,Petrol,1,6500
3299,Toyota,Auris,2012,Hatchback,208000,1800,Hybrid,2,9000
3300,Toyota,Prius +,2013,Minivan,184000,1800,Hybrid,2,10999
3301,Skoda,Octavia,2010,Sedan,148000,1200,Petrol,2,6100
3302,Toyota,Corolla,2002,Hatchback,196000,1800,Petrol,1,5700
3304,Daihatsu,Sirion,2005,Sedan,275000,1300,Petrol,1,2300
3305,Renault,Megane,2005,Minivan,210900,1500,Diesel,1,3100
3306,Peugeot,307,2003,Hatchback,170000,1598,Petrol,1,3000
3308,Mercedes,E Class,1996,Sedan,300000,2000,Metan/Propan,1,2500
3309,Dacia,Duster,2011,SUV,123,1500,Diesel,1,7500
3310,Volkswagen,Passat,2015,Sedan,151000,1400,Petrol,2,13999
3311,Skoda,Octavia,2010,Sedan,380000,1900,Diesel,1,7400
3312,BMW,5 Series,2011,Sedan,194000,2000,Petrol,2,11600
3313,Mini,Countryman,2012,Sedan,149000,1600,Petrol,1,9800
3314,Ford,Focus,2007,Universal,169500,1600,Petrol,1,3750
3315,Volkswagen,Passat,2016,Sedan,96000,1400,Petrol,1,13499
3316,Mercedes,E Class,2013,Sedan,290000,1800,Metan/Propan,2,12200
3317,Volkswagen,Passat,2006,Hatchback,245000,1900,Diesel,1,6250
3318,Renault,Megane,2011,Universal,201700,1400,Petrol,1,5700
3319,Ford,Escape,2013,Crossover,132775,1600,Petrol,2,11500
3320,Renault,Captur,2015,Crossover,96000,1200,Petrol,2,9990
3321,Hyundai,Santa FE,2016,SUV,156069,1995,Diesel,2,17400
3322,Renault,Megane,2014,Universal,185700,1461,Diesel,2,8500
