,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
84,Chevrolet,Volt,2011,Hatchback,190000,1400,Plug-in Hybrid,2,9150
86,Volkswagen,Passat,2002,Universal,270000,1800,Petrol,1,2550
88,BMW,5 Series,2000,Sedan,254604,2500,Petrol,1,4500
89,Renault,Megane,2009,Universal,165000,1500,Diesel,1,4999
90,Toyota,C-HR,2017,Crossover,115000,1800,Hybrid,2,17999
92,Mercedes,E Class,2012,Sedan,150000,2500,Diesel,2,14490
94,Renault,Clio,2006,Hatchback,280000,1461,Diesel,1,4299
95,Subaru,Trezia,2011,Microvan,176,1400,Diesel,1,5800
96,Citroen,C3,2012,Hatchback,145000,1400,Diesel,2,6899
97,Audi,A6,1997,Sedan,29800,2400,Metan/Propan,1,2750
98,Ford,Fusion,2013,Sedan,178000,2000,Hybrid,2,9290
99,Toyota,Prius,2014,Sedan,140000,800,Plug-in Hybrid,2,11200
100,Volkswagen,Vento,1993,Sedan,300000,1800,Petrol,1,1700
101,Fiat,Stilo,2003,Hatchback,1,1200,Petrol,1,2650
102,KIA,Ceed,2009,Hatchback,1,1600,Diesel,1,4700
103,Renault,Captur,2017,Crossover,129000,1500,Diesel,2,10990
104,Lexus,CT Series,2012,Hatchback,193000,1800,Hybrid,2,10950
105,Volvo,XC60,2010,SUV,202000,2400,Diesel,2,14750
106,Dacia,Dokker,2013,Minivan,209000,1500,Diesel,1,5750
107,Hyundai,i30,2010,Hatchback,145000,1400,Petrol,1,4750
108,Lexus,CT Series,2012,Hatchback,194000,1800,Hybrid,2,9999
109,Volvo,XC90,2008,SUV,249000,2400,Diesel,1,11500
110,Hyundai,Getz,2008,Hatchback,142000,1100,Petrol,1,3499
111,Mercedes,A Class,2005,Hatchback,260000,1500,Metan/Propan,2,4750
112,Mercedes,C Class,2002,Coupe,240000,2300,Petrol,1,3499
113,Jaguar,Xf,2012,Sedan,120000,2200,Diesel,2,15999
114,Mercedes,E Class,2010,Sedan,182000,1800,Petrol,2,11750
115,Skoda,Octavia,2005,Universal,300000,2000,Petrol,1,4999
116,Opel,Astra,2008,Universal,310000,1300,Diesel,1,4850
117,Skoda,Superb,2014,Sedan,186000,1600,Diesel,2,12300
118,Volkswagen,Amarok,2011,Pickup,150000,2000,Diesel,1,12800
119,Mercedes,Vito,2000,Minivan,258000,2200,Diesel,2,2999
120,Mercedes,E Class,2000,Sedan,999,2000,Petrol,2,3199
121,Toyota,Auris,2010,Hatchback,1,1400,Hybrid,2,8990
122,Nissan,Qashqai,2016,Crossover,151000,1500,Diesel,1,13890
124,Renault,Megane,2010,Universal,257110,1500,Diesel,1,4999
125,Ford,Mondeo,2016,Sedan,167000,1500,Diesel,1,12990
126,Toyota,C-HR,2018,Crossover,114000,1800,Hybrid,2,16750
127,Nissan,Qashqai,2017,Crossover,157600,1500,Diesel,1,11990
128,Toyota,Auris,2014,Universal,190000,1800,Hybrid,2,8990
129,Toyota,C-HR,2017,Crossover,119000,1800,Hybrid,2,18790
130,Peugeot,3008,2018,Crossover,145000,1500,Diesel,2,16790
131,Renault,Kadjar,2016,Crossover,150200,1500,Diesel,2,13450
132,Lexus,NX Series,2015,SUV,149000,2500,Hybrid,2,21750
133,Volkswagen,Passat,2006,Sedan,216000,2000,Petrol,2,5350
134,Infiniti,Q Series,2016,Crossover,88000,1500,Diesel,2,15790
135,Mitsubishi,Carisma,2002,Sedan,4,1800,Petrol,2,2700
