Mark_0,Mark_1,Mark_2,Mark_3,Mark_4,Mark_5,Mark_6,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Year,Type_0,Type_1,Type_2,Type_3,Distance,Engine_capacity_cm3,Fuel_type_0,Fuel_type_1,Fuel_type_2,Transmission,Price(euro)
0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2010,0,1,0,0,202000,2400,0,1,0,2,14750
0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,2013,0,1,1,1,209000,1500,0,1,0,1,5750
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,2010,0,0,0,1,145000,1400,0,1,1,1,4750
0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,2012,0,0,0,1,194000,1800,0,0,1,2,9999
0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,2008,0,1,0,0,249000,2400,0,1,0,1,11500
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,2008,0,0,0,1,142000,1100,0,1,1,1,3499
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2005,0,0,0,1,260000,1500,1,0,0,2,4750
0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,2002,1,0,0,0,240000,2300,0,1,1,1,3499
0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,0,1,0,1,120000,2200,0,1,0,2,15999
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2010,0,1,0,1,182000,1800,0,1,1,2,11750
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2005,0,0,1,0,300000,2000,0,1,1,1,4999
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2008,0,0,1,0,310000,1300,0,1,0,1,4850
0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2014,0,1,0,1,186000,1600,0,1,0,2,12300
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2011,1,0,0,1,150000,2000,0,1,0,1,12800
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2000,0,1,1,1,258000,2200,0,1,0,2,2999
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2000,0,1,0,1,999,2000,0,1,1,2,3199
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2010,0,0,0,1,1,1400,0,0,1,2,8990
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2016,0,1,1,0,151000,1500,0,1,0,1,13890
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2010,0,0,1,0,257110,1500,0,1,0,1,4999
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2016,0,1,0,1,167000,1500,0,1,0,1,12990
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2018,0,1,1,0,114000,1800,0,0,1,2,16750
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2017,0,1,1,0,157600,1500,0,1,0,1,11990
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2014,0,0,1,0,190000,1800,0,0,1,2,8990
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2017,0,1,1,0,119000,1800,0,0,1,2,18790
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2018,0,1,1,0,145000,1500,0,1,0,2,16790
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2016,0,1,1,0,150200,1500,0,1,0,2,13450
0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,2015,0,1,0,0,149000,2500,0,0,1,2,21750
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2006,0,1,0,1,216000,2000,0,1,1,2,5350
0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,2016,0,1,1,0,88000,1500,0,1,0,2,15790
0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2002,0,1,0,1,4,1800,0,1,1,2,2700
0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2004,0,1,0,1,1,1800,0,1,1,1,3600
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2003,0,0,1,1,1,2200,0,1,0,1,4600
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2007,0,0,1,0,320000,1600,1,0,0,1,5999
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2006,0,0,0,1,298000,1500,0,1,0,1,2999
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2017,0,0,0,1,27138,1500,0,1,1,2,13300
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,2006,0,1,0,1,1,2500,0,1,1,2,6350
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2016,0,1,1,0,140000,1500,0,1,0,2,12400
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2012,0,1,0,1,166000,1600,0,1,0,2,8990
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2000,0,0,0,1,1,1400,0,1,1,1,2750
0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2009,0,1,0,1,223000,2000,0,1,0,2,8990
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2006,0,0,1,0,198563,1400,0,1,0,2,5350
