Year,Type_1,Type_3,Distance,Engine_capacity_cm3,Transmission,Price(euro)
0.5625,1.0,0.0,0.4590909090909091,0.9898477157360408,1.0,14600
0.875,0.0,1.0,0.3863636363636363,0.3411167512690355,0.0,8200
0.5,0.0,1.0,0.0005727272727272,0.3299492385786802,0.0,4600
0.75,1.0,1.0,0.45,0.3299492385786802,1.0,8400
0.46875,0.0,0.0,0.4169409090909091,0.2791878172588832,0.0,2500
0.53125,0.0,1.0,0.2704545454545454,0.4314720812182741,1.0,5700
0.5625,0.0,1.0,0.6431818181818182,0.2791878172588832,0.0,3499
0.875,0.0,1.0,0.3318181818181818,0.5329949238578681,1.0,11900
0.8125,1.0,0.0,0.4590909090909091,0.6294416243654822,0.0,7100
0.84375,0.0,1.0,0.3204545454545454,0.3807106598984772,0.0,9000
0.75,1.0,1.0,0.5,0.3807106598984772,0.0,5000
0.59375,0.0,1.0,0.5273,0.3807106598984772,0.0,3700
0.78125,1.0,0.0,0.4977272727272727,0.3807106598984772,0.0,10999
0.5625,1.0,0.0,0.6818181818181819,0.7360406091370558,1.0,9200
0.6875,0.0,1.0,0.275,0.5329949238578681,1.0,7900
0.46875,0.0,0.0,0.5681818181818182,0.3807106598984772,0.0,4000
0.78125,0.0,0.0,0.4545454545454545,0.3248730964467005,0.0,8600
0.75,1.0,0.0,0.325,0.634517766497462,1.0,17850
0.75,0.0,0.0,0.3954545454545454,0.634517766497462,0.0,9650
0.75,1.0,0.0,0.325,0.634517766497462,1.0,17850
0.75,0.0,0.0,0.3954545454545454,0.634517766497462,0.0,9650
0.625,0.0,0.0,0.4545454545454545,0.3299492385786802,0.0,4800
0.5625,1.0,0.0,0.3128636363636363,0.3807106598984772,0.0,6600
0.6875,0.0,0.0,0.4853363636363636,0.2791878172588832,0.0,5650
0.53125,1.0,1.0,0.4388545454545454,0.3807106598984772,0.0,3700
0.09375,0.0,0.0,0.9090909090909092,0.634517766497462,0.0,1600
0.84375,1.0,0.0,0.341875,0.3807106598984772,1.0,14990
0.90625,1.0,1.0,0.2386363636363636,0.634517766497462,1.0,15000
0.34375,0.0,0.0,0.4340909090909091,0.5329949238578681,1.0,3850
0.28125,0.0,1.0,0.2942,0.4314720812182741,1.0,2399
0.8125,1.0,1.0,0.3818181818181818,0.4314720812182741,1.0,18650
0.15625,1.0,1.0,0.4090909090909091,0.4314720812182741,0.0,2400
0.84375,0.0,1.0,0.0,0.5329949238578681,1.0,12350
0.8125,1.0,0.0,0.3409090909090909,0.3299492385786802,1.0,11000
0.5625,1.0,0.0,0.5068181818181818,0.9898477157360408,1.0,15000
0.6875,0.0,0.0,0.3204545454545454,0.3299492385786802,0.0,9800
0.75,0.0,0.0,0.0,0.3807106598984772,0.0,7490
0.53125,1.0,1.0,0.5681818181818182,0.5949238578680203,1.0,4600
0.53125,1.0,1.0,0.5681818181818182,0.7360406091370558,1.0,9999
0.6875,0.0,0.0,0.4,0.2791878172588832,0.0,6000
0.59375,0.0,0.0,0.000625,0.634517766497462,1.0,7999
